year,ageGroup,male,female
1989,0-4,1933864,1856846
1989,5-9,1879447,1814574
1989,10-14,1834857,1781881
1989,15-19,1807887,1741372
1989,20-24,1684586,1667830
1989,25-29,1969636,1987479
1989,30-34,1924229,1974777
1989,35-39,1826408,1915840
1989,40-44,1295603,1411475
1989,45-49,1504042,1716580
1989,50-54,1725609,1978733
1989,55-59,1316274,1639270
1989,60-64,1274947,1958165
1989,65-69,663602,1356788
1989,70-74,419958,993747
1989,75-79,394956,1029960
1989,80-84,197910,571665
1989,85-89,68556,230601
1989,90-94,15665,57319
1989,95-99,3410,15968
1989,100 і старше,351,2478
1990,0-4,1896459,1817650
1990,5-9,1914255,1845879
1990,10-14,1832594,1777360
1990,15-19,1849453,1784525
1990,20-24,1658733,1642507
1990,25-29,1918060,1934830
1990,30-34,1936398,1988720
1990,35-39,1819939,1906240
1990,40-44,1442687,1566297
1990,45-49,1335505,1519148
1990,50-54,1841678,2140814
1990,55-59,1229657,1506351
1990,60-64,1333027,1943159
1990,65-69,728040,1475396
1990,70-74,396755,918187
1990,75-79,399351,1056391
1990,80-84,201765,591357
1990,85-89,73116,246493
1990,90-94,15038,51595
1990,95-99,3243,14531
1990,100 і старше,443,2887
1991,0-4,1848292,1764826
1991,5-9,1933776,1864590
1991,10-14,1838762,1779287
1991,15-19,1861092,1805784
1991,20-24,1677248,1658761
1991,25-29,1834467,1854160
1991,30-34,1975611,2027814
1991,35-39,1813200,1900481
1991,40-44,1614248,1744590
1991,45-49,1163116,1325584
1991,50-54,1862344,2186138
1991,55-59,1206405,1451906
1991,60-64,1375472,1926510
1991,65-69,804207,1593953
1991,70-74,397826,917068
1991,75-79,373208,1007745
1991,80-84,211436,608763
1991,85-89,74126,247517
1991,90-94,17400,53315
1991,95-99,3744,14655
1991,100 і старше,571,3549
1992,0-4,1775615,1690243
1992,5-9,1979632,1905471
1992,10-14,1830090,1770356
1992,15-19,1856387,1813892
1992,20-24,1705347,1679406
1992,25-29,1781705,1797836
1992,30-34,1990728,2040910
1992,35-39,1828418,1919561
1992,40-44,1696603,1823538
1992,45-49,1099763,1251279
1992,50-54,1825897,2156584
1992,55-59,1265055,1520948
1992,60-64,1355910,1838901
1992,65-69,880407,1689138
1992,70-74,428848,981488
1992,75-79,336700,924381
1992,80-84,212198,622586
1992,85-89,78244,265544
1992,90-94,17183,50823
1992,95-99,4142,12866
1992,100 і старше,572,3039
1993,0-4,1705789,1623906
1993,5-9,2001839,1926638
1993,10-14,1860197,1797076
1993,15-19,1832752,1803693
1993,20-24,1758999,1723227
1993,25-29,1737627,1746666
1993,30-34,1995103,2050798
1993,35-39,1851959,1944653
1993,40-44,1773702,1906139
1993,45-49,1127072,1274353
1993,50-54,1642333,1957269
1993,55-59,1414520,1692460
1993,60-64,1287587,1743730
1993,65-69,973262,1738442
1993,70-74,468322,1088186
1993,75-79,292459,799651
1993,80-84,217876,662383
1993,85-89,81026,271517
1993,90-94,18933,61040
1993,95-99,4251,9547
1993,100 і старше,682,2766
1994,0-4,1607699,1529554
1994,5-9,1979360,1900081
1994,10-14,1909438,1841548
1994,15-19,1825853,1796795
1994,20-24,1783423,1739994
1994,25-29,1684564,1696342
1994,30-34,1967683,2026080
1994,35-39,1892968,1987767
1994,40-44,1790071,1927504
1994,45-49,1237419,1396331
1994,50-54,1422469,1701500
1994,55-59,1576166,1916079
1994,60-64,1158581,1556773
1994,65-69,1049531,1784773
1994,70-74,502189,1169756
1994,75-79,273716,749764
1994,80-84,214935,661702
1994,85-89,79986,272801
1994,90-94,19675,69304
1994,95-99,4755,7750
1994,100 і старше,564,2132
1995,0-4,1508313,1433286
1995,5-9,1924433,1844049
1995,10-14,1945389,1873188
1995,15-19,1817469,1781025
1995,20-24,1801697,1759373
1995,25-29,1642709,1650902
1995,30-34,1902516,1958561
1995,35-39,1900503,2000137
1995,40-44,1766055,1905651
1995,45-49,1379080,1553502
1995,50-54,1247758,1495429
1995,55-59,1676157,2076892
1995,60-64,1070907,1424327
1995,65-69,1086938,1763886
1995,70-74,545036,1258897
1995,75-79,259601,698027
1995,80-84,213101,670854
1995,85-89,79237,277256
1995,90-94,19731,75197
1995,95-99,5173,6318
1995,100 і старше,558,1313
1996,0-4,1416391,1344342
1996,5-9,1861080,1778042
1996,10-14,1960274,1885859
1996,15-19,1822405,1775493
1996,20-24,1802312,1764253
1996,25-29,1647231,1648943
1996,30-34,1808517,1864798
1996,35-39,1934307,2035035
1996,40-44,1747156,1892309
1996,45-49,1532373,1723983
1996,50-54,1074452,1298542
1996,55-59,1680038,2114747
1996,60-64,1037936,1364314
1996,65-69,1114674,1749784
1996,70-74,594416,1353084
1996,75-79,258094,694438
1996,80-84,193506,627617
1996,85-89,80826,279423
1996,90-94,18530,75366
1996,95-99,6454,11247
1996,100 і старше,584,929
1997,0-4,1327006,1257423
1997,5-9,1768775,1685581
1997,10-14,1996862,1916712
1997,15-19,1812952,1760710
1997,20-24,1796087,1761972
1997,25-29,1656476,1649606
1997,30-34,1733753,1787705
1997,35-39,1931539,2033232
1997,40-44,1744998,1897903
1997,45-49,1595651,1792341
1997,50-54,1006561,1218691
1997,55-59,1630085,2077253
1997,60-64,1081057,1426312
1997,65-69,1087832,1662453
1997,70-74,643861,1425614
1997,75-79,276747,743184
1997,80-84,171009,563886
1997,85-89,79447,281854
1997,90-94,19009,77736
1997,95-99,5894,13061
1997,100 і старше,592,619
1998,0-4,1249570,1183816
1998,5-9,1676063,1595650
1998,10-14,2000521,1918915
1998,15-19,1837457,1774442
1998,20-24,1768742,1737231
1998,25-29,1682368,1672565
